Región;País;Rango de Edad;Profesión;Clase Social; Ingresos Anuales (USD) ;Invierte;Instrumento de Inversión
América Latina;Chile;66+;Contador;Alta; $ 185.651,27 ;Si;Bonos
América Latina;Chile;36-45;Contador;Baja; $ 10.145,20 ;No;No invierte
Europa;Reino Unido;26-35;Ingeniero;Baja; $ 16.830,45 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Médico;Media; $ 39.208,56 ;Si;Acciones
Europa;España;66+;Científico;Media; $ 56.563,66 ;No;No invierte
NorteAmérica;Canadá;46-55;Empresario;Baja; $ 8.039,14 ;No;No invierte
NorteAmérica;EE.UU.;36-45;Funcionario;Media; $ 46.062,71 ;No;No invierte
NorteAmérica;Canadá;56-65;Abogado;Baja; $ 6.584,35 ;Si;Fondos de inversiÃ³n
Europa;Italia;56-65;Médico;Baja; $ 11.361,34 ;No;No invierte
Europa;España;66+;Ingeniero;Alta; $ 106.209,62 ;Si;Fondos de inversiÃ³n
Europa;España;66+;Empresario;Alta; $ 202.104,90 ;Si;No invierte
Europa;Francia;36-45;Docente;Baja; $ 12.416,00 ;Si;No invierte
Europa;Italia;26-35;Funcionario;Baja; $ 13.874,87 ;Si;Criptomonedas
América Latina;Colombia;36-45;Empresario;Alta; $ 103.958,10 ;Si;Oro
NorteAmérica;Canadá;56-65;Médico;Baja; $ 8.977,61 ;No;No invierte
América Latina;Argentina;56-65;Abogado;Baja; $ 16.910,63 ;Si;Bienes Raíces
Europa;Reino Unido;18-25;Desarrollador;Alta; $ 362.091,89 ;No;No invierte
América Latina;Perú;66+;Funcionario;Alta; $ 160.413,50 ;Si;Bonos
América Latina;Argentina;18-25;Contador;Media; $ 72.629,30 ;No;No invierte
NorteAmérica;Canadá;26-35;Abogado;Alta; $ 324.802,27 ;Si;Bienes Raíces
América Latina;Chile;66+;Empresario;Alta; $ 251.672,22 ;Si;Fondos de inversiÃ³n
América Latina;Chile;66+;Ingeniero;Alta; $ 408.478,91 ;Si;Criptomonedas
Europa;Alemania;66+;Artista;Media; $ 63.243,39 ;Si;Bonos
NorteAmérica;Canadá;36-45;Abogado;Alta; $ 198.111,33 ;Si;Bonos
América Latina;Colombia;26-35;Científico;Media; $ 66.003,48 ;No;No invierte
NorteAmérica;Canadá;56-65;Contador;Baja; $ 12.559,76 ;Si;Oro
NorteAmérica;Canadá;36-45;Abogado;Alta; $ 109.633,74 ;Si;Fondos de inversiÃ³n
América Latina;Colombia;66+;Contador;Media; $ 72.758,38 ;No;No invierte
América Latina;Argentina;66+;Docente;Alta; $ 382.913,44 ;Si;No invierte
Europa;Francia;56-65;Abogado;Media; $ 41.005,45 ;Si;Oro
América Latina;Perú;66+;Funcionario;Baja; $ 12.669,25 ;Si;Bienes Raíces
América Latina;México;56-65;Contador;Media; $ 32.706,68 ;Si;Bienes Raíces
NorteAmérica;Canadá;18-25;Artista;Media; $ 39.673,30 ;Si;Criptomonedas
Europa;Alemania;18-25;Ingeniero;Baja; $ 16.596,07 ;No;No invierte
Europa;Países Bajos;66+;Contador;Baja; $ 7.692,24 ;Si;Bienes Raíces
NorteAmérica;Canadá;36-45;Funcionario;Alta; $ 458.605,76 ;Si;Oro
NorteAmérica;EE.UU.;56-65;Contador;Media; $ 41.064,79 ;Si;No invierte
América Latina;Perú;36-45;Contador;Alta; $ 136.561,46 ;Si;Bienes Raíces
Europa;Francia;36-45;Abogado;Baja; $ 14.595,98 ;Si;Bienes Raíces
Europa;Italia;26-35;Empresario;Alta; $ 161.651,74 ;Si;Bonos
NorteAmérica;Canadá;56-65;Desarrollador;Alta; $ 366.724,69 ;Si;Bienes Raíces
NorteAmérica;EE.UU.;46-55;Médico;Media; $ 75.111,01 ;Si;Bienes Raíces
Europa;Alemania;56-65;Empresario;Media; $ 48.164,06 ;Si;Bienes Raíces
América Latina;Argentina;46-55;Funcionario;Media; $ 79.874,21 ;Si;Bienes Raíces
América Latina;Chile;36-45;Ingeniero;Media; $ 31.052,52 ;Si;Acciones
Europa;Reino Unido;66+;Abogado;Alta; $ 91.792,45 ;Si;Acciones
América Latina;México;56-65;Docente;Media; $ 42.889,72 ;Si;Criptomonedas
Europa;España;18-25;Científico;Baja; $ 19.631,52 ;Si;Bonos
América Latina;Perú;46-55;Contador;Alta; $ 224.123,04 ;No;No invierte
Europa;Francia;26-35;Artista;Media; $ 61.612,86 ;No;No invierte
Europa;Alemania;36-45;Desarrollador;Media; $ 38.881,79 ;No;No invierte
NorteAmérica;Canadá;56-65;Empresario;Media; $ 20.687,87 ;Si;Bienes Raíces
Europa;Italia;46-55;Empresario;Media; $ 66.605,70 ;Si;Oro
Europa;Italia;36-45;Abogado;Alta; $ 343.242,48 ;Si;Bonos
Europa;Italia;56-65;Docente;Alta; $ 234.741,54 ;No;No invierte
Europa;Francia;18-25;Abogado;Media; $ 36.211,12 ;Si;No invierte
Europa;Países Bajos;36-45;Funcionario;Media; $ 71.282,01 ;No;No invierte
NorteAmérica;Canadá;46-55;Funcionario;Media; $ 29.418,04 ;Si;Fondos de inversiÃ³n
Europa;Francia;36-45;Empresario;Baja; $ 18.065,25 ;Si;No invierte
