ID;Año;Región;País;Edad;Profesión;Ingresos_Anuales_USD;Clase_Social;Tiene_Familia;Tamaño_Familia;Tipo_Inversión;Monto_Invertido_USD;Frecuencia_Inversión;Riesgo_Inversión;Motivo_Inversión
1;2024;Europa;Reino Unido;42;Médico;299554;Alta;No;0;Inmobiliario;66011;Anual;Alto;Ahorro
2;2022;Norteamérica;Canadá;43;Abogado;137050;Alta;No;0;Acciones;4514;Mensual;Bajo;Diversificación
3;2024;Norteamérica;Canadá;34;Abogado;495426;Alta;No;0;Bonos;95159;Mensual;Medio;Ahorro
4;2023;Norteamérica;Estados Unidos;59;Empresario;345565;Alta;Sí;7;Fondos Mutuos;70051;Mensual;Alto;Retiro
5;2022;Norteamérica;Canadá;46;Programador;95620;Media;Sí;1;Acciones;9195;Mensual;Alto;Ahorro
6;2023;Norteamérica;Estados Unidos;40;Diseñador;435978;Alta;No;0;Criptomonedas;34840;Mensual;Alto;Ahorro
7;2023;Europa;Italia;39;Arquitecto;426343;Alta;Sí;6;Criptomonedas;71860;Anual;Medio;Diversificación
8;2024;Norteamérica;Estados Unidos;36;Arquitecto;235268;Alta;No;0;Criptomonedas;3248;Semestral;Bajo;Diversificación
9;2022;Norteamérica;Estados Unidos;50;Profesor;14534;Baja;Sí;8;Acciones;7135;Anual;Alto;Retiro
10;2022;América Latina;Argentina;45;Ingeniero;34823;Media;Sí;1;Acciones;10309;Mensual;Bajo;Retiro
11;2023;Norteamérica;Estados Unidos;35;Médico;284188;Alta;Sí;1;Fondos Mutuos;25925;Mensual;Bajo;Retiro
12;2022;Europa;Alemania;46;Arquitecto;398551;Alta;No;0;Fondos Mutuos;10799;Mensual;Alto;Ahorro
13;2024;Europa;Alemania;52;Estudiante;452648;Alta;Sí;2;Acciones;69484;Semestral;Medio;Diversificación
14;2022;Europa;España;34;Programador;468351;Alta;Sí;1;Inmobiliario;5992;Mensual;Bajo;Diversificación
15;2024;América Latina;Argentina;37;Médico;116955;Alta;Sí;8;Inmobiliario;40108;Anual;Bajo;Retiro
16;2024;Europa;Alemania;29;Abogado;33470;Media;Sí;5;Acciones;706;Semestral;Medio;Ganancia Rápida
17;2023;Norteamérica;Estados Unidos;31;Ingeniero;105337;Alta;No;0;Bonos;16868;Anual;Medio;Ahorro
18;2023;América Latina;Colombia;39;Abogado;268371;Alta;Sí;8;Fondos Mutuos;25245;Anual;Medio;Retiro
19;2023;América Latina;Colombia;38;Médico;138674;Alta;Sí;4;Inmobiliario;55665;Mensual;Bajo;Diversificación
20;2024;Norteamérica;Estados Unidos;58;Programador;295808;Alta;No;0;Inmobiliario;75420;Semestral;Medio;Ahorro
21;2023;Europa;Italia;50;Programador;229138;Alta;Sí;3;Inmobiliario;64465;Anual;Alto;Diversificación
